x-position, y-position, x-velocity, y-velocity
   99.758399,    37.756936,     0.000000,     0.000000
   58.235993,    34.289589,     0.559862,     0.806090
   96.925462,    71.533668,     1.399206,    -1.065378
   74.828325,    73.447079,    -0.031186,     0.041766
   28.977171,    38.946522,    -3.568094,     2.633689
   40.933552,    74.530510,    -3.260298,    -2.443349
   10.877783,    88.543202,     2.095295,    -6.231142
    2.354985,    29.843903,     0.276530,    -0.502794
   35.311620,    58.419820,    -0.012769,     0.006377
   38.008685,    27.701073,     5.002128,     0.439986
   22.536854,    84.690941,    -0.024934,     0.096375
   13.693518,    26.296641,    -0.114422,    -0.084365
   89.231133,    83.224151,    -0.933232,    -0.732548
   41.575286,    69.048166,     0.483585,     3.246188
   82.918098,    43.027760,    75.341831,   -36.757878
   66.481658,    43.982797,   -17.244686,   -10.258562
    2.540186,    28.593504,    -0.016477,    -0.212504
   65.696350,    24.833097,     0.145614,     0.274610
   64.216246,    66.546293,    -1.091737,    -0.251117
   32.975768,    61.109877,     0.000301,     0.000109
   16.542717,    29.936273,   -15.562196,    -4.365792
   37.333374,    96.833978,    -1.872053,     5.149356
   22.326255,    81.523979,     0.063872,     5.355035
   96.885407,    26.623510,    -0.000000,    -0.000000
   60.186292,    17.331116,     0.250244,    -3.966224
   57.483967,    53.437827,    -9.670799,    -1.855389
   48.246329,    14.962652,     0.641877,     0.622325
   33.666824,    97.871534,    -0.027341,     0.013333
   11.262282,    23.934676,     2.821581,    -2.584387
   75.265576,    72.850396,    -0.139128,     0.139176
   61.722550,    33.060668,     0.265765,    -0.920940
   72.922574,    82.520493,     4.069192,     5.790142
   89.836010,    54.824963,    -0.000088,    -0.000053
   64.469573,    96.016801,    -0.948482,     0.003346
   15.922074,    93.017640,     0.002783,    -0.000329
   57.447820,    63.637382,    -1.486519,     0.247519
   97.887364,    30.265289,     0.000000,    -0.000000
   99.915085,    18.299217,     0.000000,     0.000000
   26.311970,    84.517926,    -0.059129,     0.065653
   55.924264,    62.770580,     0.494516,     1.004294
   64.597278,    67.037739,    -0.921197,    -1.423321
   54.959256,    22.747474,    -0.446731,    -0.952116
   97.855551,    79.992809,     0.077663,    -0.006434
   90.292806,    39.709998,     0.000387,    -0.000063
   65.886104,    11.833581,    -0.083417,    -0.021956
   77.943636,    90.763849,     2.242684,     6.808353
   45.930546,    12.853175,     1.518419,     3.218052
   92.906332,    70.335757,    -0.177778,    -0.125927
   15.507752,    53.059566,    -0.029226,     0.014597
   50.071992,    76.233935,    -5.246368,    -0.130980
   96.085378,    69.835869,     2.130775,   -12.906100
   34.476159,    87.339872,    -0.060739,     0.051021
   12.466067,    83.241409,     0.001099,    -0.003667
   61.818118,    95.760246,    -0.007152,    -0.001022
   82.241159,    23.004444,     0.000205,    -0.000107
   94.958865,    57.587484,    -0.101068,    -0.210646
   80.741581,    96.338248,     4.338373,    -1.639994
   47.415169,    84.183432,    -1.850578,     0.753535
   38.147869,    18.284439,     0.424219,    -0.211962
   42.733592,    71.246553,     0.023544,     0.007299
   56.284858,    72.321759,   -13.145788,    41.569745
   99.794009,     3.521822,    -0.940601,     0.213540
   99.049080,    91.757229,     0.000000,     0.000000
   75.184808,    70.947703,     0.187793,     0.707691
   96.248640,    75.175819,     1.623593,    -1.435165
   11.279922,    92.609193,     1.188719,    -0.677857
   68.505433,     5.617538,    -1.665329,    -0.267295
   76.289274,    52.192965,     0.345076,     0.718886
   94.665265,     6.968890,    -0.568857,     0.392930
   58.751273,    23.811885,    -4.091760,     2.263039
   82.345684,    69.358223,     0.207753,     0.062764
   63.536936,    32.942376,     2.353762,     0.816320
    3.811615,    75.206611,     7.977183,     0.962083
   47.421447,    75.773132,    -1.431677,     0.360642
   75.412928,     8.361399,     6.299079,   -47.246739
   14.615661,     9.690712,     0.000140,    -0.000514
   59.152093,     5.847322,    -0.000662,    -0.000284
   52.960637,    78.579510,     0.628733,     0.617980
   89.025306,    70.202516,     0.086447,     0.487710
   35.406183,    38.264679,     1.494377,     2.492474
   67.065733,    52.112768,    -0.205618,    -0.538919
   66.810028,    51.058935,     0.015891,     0.132121
   48.876211,    56.234649,    -0.570013,     2.114619
   27.644415,    59.180789,     1.173041,     0.006703
    8.721029,    30.411659,     0.074965,     0.007757
   11.050009,    30.200467,    -0.005937,     0.005435
   55.377308,     8.304660,    -0.000000,     0.000000
   38.196225,    97.587472,     0.316737,     0.487117
   86.004428,    89.637161,  -417.956687,   -82.886821
   78.991679,    78.621818,    -0.139593,     0.720844
   63.879388,    32.537024,     1.245066,     0.095057
   77.984981,    25.228785,     0.501752,    -0.243585
   95.404495,    26.431842,    -0.000000,    -0.000000
   12.310193,    62.188213,     0.000000,     0.000000
   32.521017,    93.840911,    -0.013878,    -0.000812
   60.084943,    99.226076,    -0.000738,     0.000010
    5.757500,    23.226804,    -0.007876,    -0.021191
   12.812174,    94.501021,     0.465512,    -0.251303
   22.346471,    85.007857,    -0.023201,     0.077378
   10.947519,    70.251461,    -0.009247,    -0.061045
    8.301445,    55.896001,     0.014949,     0.002377
   27.533656,    45.141647,     0.515994,     0.258711
   44.895042,    25.669000,     0.177255,    -0.067045
   21.628388,    89.868621,    -0.000002,     0.000014
   57.096873,    15.382828,    -0.052397,    -0.055319
    5.412645,    67.469824,     0.812732,     4.441629
   42.608789,    46.280283,     0.000059,     0.000079
   40.358432,    31.517597,     0.084796,     0.060322
   97.681957,    48.611536,     0.000000,     0.000000
   69.688150,    65.963255,     0.575301,    -3.277413
    2.360604,    81.347504,     0.670162,     0.052278
   48.873007,    93.998420,    -1.764000,    23.060441
    7.374092,    30.096483,     0.725497,     0.069069
   84.137996,    58.021828,     0.000000,     0.000000
   58.754422,    68.289268,    -2.908143,    -0.904191
   58.562124,    15.038992,    -0.083701,    -0.136647
   73.941349,    33.629678,     0.529840,    -0.672067
   12.265847,    16.801605,    -0.288631,    -0.057642
   84.189666,    53.924837,     0.000000,     0.000000
   84.030186,    72.677725,     0.103394,     0.019762
   75.678143,    23.549814,     0.625815,    -0.508582
   84.672741,    20.736154,     0.244816,     0.043145
   53.355061,    97.289341,     0.037698,     0.027680
   65.731006,    98.651373,    -0.628438,    -0.403922
   47.790275,    42.403426,    -8.358368,    10.972214
   41.669172,    25.829179,     2.022629,    -2.938426
   36.216438,    22.369049,     0.000000,    -0.000000
   96.467891,    11.115478,   -24.374311,    42.022366
   44.388264,    86.710002,    -1.408873,     0.657041
   47.220936,     2.619448,     0.169393,    -1.121952
   40.755487,    27.234848,    30.416196,    -3.559556
   64.331461,     8.120965,    -2.124499,     0.147155
   26.950422,    44.897001,     0.110917,     0.652721
   93.832798,    14.594565,    -0.275444,     0.363666
   48.667650,    14.460875,     0.796592,     0.526711
   81.040440,    31.289005,     0.000000,     0.000000
   93.495966,    59.904230,     0.655492,    -0.463651
   66.769433,    68.494498,    -2.676198,    -1.714883
   22.729363,    89.695100,     0.000001,     0.000016
   85.845207,    75.629669,     0.061311,     0.004490
   77.384682,    64.406536,     0.672372,     0.262166
   23.777374,    32.435494,    -3.029865,     3.753984
   65.627558,    44.348493,   -22.051150,   -12.004615
   56.670519,    60.356595,    -5.755688,     0.332670
   96.789788,    98.778218,     0.000000,     0.000000
   97.076303,    57.628947,    -6.351122,     4.216715
   33.373955,    38.021612,    -0.466425,     0.379680
   92.155958,    34.421878,     0.000000,    -0.000000
   34.568261,    74.797083,     0.000000,     0.000000
   93.158436,    57.388023,    -0.031460,    -0.011448
   58.983297,    50.845822,     1.281988,     0.978333
   54.245718,    67.155270,    14.231487,     3.940846
   18.313133,    68.801488,    -0.063041,     0.042659
   38.453158,    17.850987,     0.318168,    -0.177799
   13.009209,    15.333706,    -1.117293,    -2.310636
   37.364079,    43.526726,     0.232506,    -0.220428
   66.203157,    46.403170,    -4.887262,     1.607877
   53.278315,    44.645878,    -3.427322,     1.736546
   47.241095,    69.237549,    -0.161668,     0.081155
   32.318452,    30.322046,     0.075408,    -0.634112
   23.703005,    24.495839,    -2.569409,     1.342804
   20.125401,    19.127939,    -0.274358,    -0.070881
   42.183275,    42.633329,     0.027496,     0.119852
   97.969994,    69.352281,     0.475573,    -0.228634
   54.774483,    14.913007,    -0.005168,    -0.002792
   13.858278,    15.057657,     0.144751,    -0.370686
   83.083055,    67.578267,     0.624956,     0.246813
   84.736281,    57.991845,     0.000000,     0.000000
   67.661975,    67.721273,    -4.932661,   -21.148993
   53.350446,    78.060506,     0.069612,     0.311204
   63.672525,    77.035829,    -2.015139,    -0.178365
   66.970457,    89.751143,    -6.476569,     0.597841
   94.175260,    10.822185,    -2.991743,    -0.382443
   10.955327,    32.632216,    -0.282913,    -0.301286
   88.614718,    65.288744,     0.477538,     0.111701
   63.552461,    13.965825,     0.229922,    -0.050900
   23.873922,    81.282860,    -0.528543,     0.311376
   16.607054,    54.810645,    -0.064849,     0.038930
    3.073214,    27.113913,    -0.012708,    -0.075319
   23.851690,    77.312461,     0.775755,     4.411487
   31.921673,    51.581577,     0.000000,     0.000000
   81.157011,    50.978575,     0.001635,    -0.000126
   57.798130,    96.215619,     0.000000,    -0.000000
   82.799806,    55.473282,     0.000000,     0.000000
   18.360139,    16.754829,    -5.044256,    -1.472687
   17.155836,    20.412111,     0.083258,    -0.152221
   32.611110,    13.948211,    -7.917218,   -67.147720
   27.319484,    97.039049,     0.000000,     0.000000
   54.798394,    78.120941,    -0.117286,     0.367655
   61.901627,    13.467973,     2.093500,    -5.137882
    5.456995,    51.603466,     0.580109,     0.336079
   47.630309,    37.614830,     0.850217,   -20.550991
   11.385434,    61.716338,     0.000000,     0.000000
   61.799711,     9.442152,    -0.015734,    -0.011761
   41.178908,    73.839629,     0.051063,    -1.120284
   72.754160,    79.009746,    -4.742588,    -2.253094
   94.340972,    34.762477,     0.000000,     0.000000
   16.476370,    68.974724,    -0.013721,    -0.976134
   23.626810,    41.013977,  -248.185676,   -22.047875
   14.411825,     9.464057,     0.000005,    -0.000052
