x-position, y-position, x-velocity, y-velocity
   20.375212,    20.793446,    -8.817298,    -3.761805
   87.088166,    64.008731,    -6.069094,   -10.721451
   65.812574,    50.714590,    11.969933,    -7.409346
    6.014177,    22.744383,    -3.809187,   -20.026622
   46.793067,    53.108758,   -11.585241,     9.676419
    9.962303,    58.220475,    -0.959170,     4.790727
   87.115071,     9.532575,    -8.011509,   -20.596238
   64.667523,    83.048572,    -2.151190,     6.725972
   20.737760,    81.591481,   -17.005871,    -1.475323
   45.689197,    16.417076,    -6.450522,    -2.813480
   58.561461,    58.282138,    -2.050913,    -4.582247
   79.211899,    51.929819,     2.611783,     2.745477
   31.896650,    80.755706,     1.692399,     2.302622
   22.454131,    28.377799,    15.946673,     7.383536
    8.667568,    75.792994,    -4.505576,    -0.675993
   62.836802,    58.894582,     5.437617,    16.130246
   24.035623,    14.520694,    -7.652428,    -1.334421
   24.796354,    38.308572,   -21.856417,     1.217170
   45.562027,    32.017666,     9.001852,    26.324299
   70.057321,    33.905935,    10.427671,     7.911194
   95.021433,    70.532154,     8.881960,     5.828790
   23.372391,    51.254171,     5.262046,     3.097947
   53.842477,    39.796767,    17.436968,    11.648950
   17.057119,    76.030705,    10.499786,     3.185921
   63.904222,    95.049914,     7.369022,   -13.445465
   30.580504,    35.774938,    -9.000873,   -13.929625
    3.286113,    84.537900,     5.361406,    -7.731070
   28.846825,    88.683036,   -13.251371,    11.529138
   33.091065,    32.883139,     5.495874,     1.206967
   48.437265,    41.184573,   -19.899075,     5.647155
   65.963817,    19.918627,   -25.806550,   -16.762815
   67.215890,    90.382228,     0.331586,    -9.622449
   52.056689,    68.153653,     8.816960,    -1.334331
    1.465086,    67.077177,    34.862737,   -23.937333
   33.501966,    43.297527,    11.205262,    -1.174768
   62.730978,    65.404674,    -3.700180,    10.734294
   22.973373,    85.220712,    -8.967765,    -0.888387
   37.177230,    26.167922,     0.186123,     8.332112
    6.778035,    51.148304,   -14.047268,    12.380480
   65.222676,    40.812046,     6.060177,   -12.258917
   28.656180,    19.916035,    -0.715944,    -0.118388
   67.036802,    31.230676,   -14.200197,    -5.053626
   37.496227,    84.028999,     5.093126,   -13.309104
   22.245056,     6.032282,    -4.955853,    -5.620062
   72.173779,    63.141230,    -9.991849,    -2.875980
   52.876916,     9.217692,    15.076348,    -6.522831
   75.777422,    21.361937,    -3.509866,    11.327537
   44.501409,    95.267647,     5.212177,    10.160769
   64.222092,    85.273773,    -6.593037,     0.810855
   38.074882,    12.537403,     1.216113,   -21.442740
   88.325105,    46.528714,    -5.639801,    -2.152841
   35.641902,    91.629979,     3.377981,     0.109847
   20.226716,    70.180290,    -0.696265,    -4.603893
   82.953476,    27.116749,   -11.439491,   -15.403726
   79.049601,    80.879711,    20.069857,     8.260738
   92.336497,    29.904214,    -2.136738,    -0.095334
   15.170026,    14.730915,   -14.202256,    11.585898
   83.173434,    70.439636,    25.015709,   -11.751626
    9.688618,    22.407878,   -12.862332,     9.138419
   32.568530,    10.031325,    11.702461,     0.699785
   20.947047,    13.893829,    -5.086250,     3.826316
   31.297671,     7.552490,     5.780543,     6.856074
   95.114714,    13.595806,    16.558009,    15.556783
   27.978664,    81.454439,    14.962811,    -7.774626
    4.067151,    35.000725,    17.775894,   -17.664991
   15.131053,    63.561116,     3.461564,     1.179080
   87.427467,    51.396088,    14.937316,    10.080863
    3.084845,    82.389614,     9.681723,     5.147418
   66.280260,    38.163462,    -5.037824,   -23.214832
   95.936682,    30.094089,    -9.051724,    -7.476329
   89.616445,    58.524346,    -8.312979,   -11.321340
   70.140975,    66.434638,     7.002413,     4.174632
   88.156260,    61.880471,    11.072847,     9.505240
   19.617632,    13.450822,     1.769722,   -14.147218
   40.117481,    63.968008,     3.184020,    -8.997169
   10.071263,    10.806445,     5.445076,    -7.217218
   29.399375,    30.228429,   -12.949175,    15.014214
   65.878077,    25.575091,   -20.432059,     1.448059
   63.290947,    13.244467,   -19.205733,    -8.454924
   43.682171,    11.713539,    -0.730860,     2.691904
   35.368828,    45.033877,    21.867144,     9.249177
   80.856928,     9.341888,    -2.471624,    11.440468
   53.459073,    78.256926,    24.276647,     1.365499
   10.686787,    79.523811,   -22.143737,   -14.877235
   13.761518,    55.981865,     5.443337,    -7.940117
   85.763638,    30.253167,    -9.102376,     1.088550
   83.532276,    83.405276,   -14.143113,    -4.563086
   22.882317,    35.796548,    12.797790,    -3.220493
    6.972878,    36.487981,    -4.237061,   -13.226580
   21.547753,    31.219695,    -4.617771,     3.558613
   86.241321,    18.147983,    12.507473,    -8.164933
   58.945353,    82.835166,    15.421819,    -2.668295
   53.703947,    62.335306,    -4.742702,    -5.500337
   18.383675,    14.409103,     8.537474,     6.512034
   65.379313,    40.581195,     8.834671,     5.889169
   47.598020,    77.292277,    -6.699868,     1.513506
   13.068164,    53.864123,    10.627693,     1.535111
   43.628445,    89.521997,     0.204133,    14.539879
   54.202829,    17.633206,   -24.005345,   -13.033130
   10.003018,    39.214585,   -12.930378,     1.938906
